mcc_id,Merchant Category Code (MCC)
253,JEWELRY-WATCH-CLOCK-AND SILVERWARE STORES
254,STAMP AND COIN STORES
255,LOEWS HOTELS
256,TIRE RETREADING AND REPAIR SHOPS
257,PACKAGE STORES BEER-WINE-AND LIQUOR
258,AUTOMOTIVE PAINT SHOPS
259,BUS LINES-CHARTERS-TOUR BUSES
260,CLARION HOTEL
261,WOMEN'S ACCESSORY AND SPECIALTY STORES
262,MANDALAY BAY RESORT
263,VIDEO GAME ARCADES AND ESTABLISHMENTS
264,MOTOR HOME AND RECREATIONAL VEHICLE RENTAL
265,HYATT PLACE
266,CAR AND TRUCK DEALERS (USED ONLY)
267,COUNSELING SERVICES DEBT-MARRIAGE-PERSONAL
268,STAYBRIDGE SUITES
269,LUXOR HOTEL AND CASINO
270,CHATEAU ELAN WINERY AND RESORT
271,OPTICIANS AND DISPENSING
272,DOCTORS AND PHYSICIANS NOT ELSEWHERE CLASSIFIED
273,LUGGAGE AND LEATHER GOODS STORES
274,CHIROPRACTORS
275,SLEEP INN
276,PUBLIC GOLF COURSES
277,INTERCONTINENTAL
278,QUALITY INT'L
279,ECONO-TRAVEL MOTOR HOTEL
280,TAILORS-SEAMSTRESS-MENDING-ALTERATIONS
281,FOUR POINTS HOTELS
282,W HOTELS
283,CANDY-NUT- AND CONFECTIONERY STORES
284,MARINAS-MARINE SERVICE-AND SUPPLIES
285,FIREPLACES-FIREPLACE SCREENS AND ACCESSORIES STORES
286,CHILDREN'S AND INFANT'S WEAR STORES
287,EXTENDED STAY AMERICA
288,BUYING AND SHOPPING SERVICES AND CLUBS
289,GAYLORD OPRYLAND
290,COMMERCIAL FOOTWARE
291,FURNITURE REUPHOLSTERY-REPAIR-AND REFINISHING
292,WRECKING AND SALVAGE YARDS
293,PEABODY HOTELS
294,BROADMOOR HOTEL
295,RELIGIOUS GOODS STORES
296,SHOE REPR SHPS-SHOE SHINE PARLRS-AND HAT CLEANING SHPS
297,LEGAL SERVICES AND ATTORNEYS
298,OPTOMETRISTS AND OPTHAMOLOGISTS
299,FOUR SEASONS
300,RIVIERA HOTEL AND CASINO
301,GAYLORD PALMS
302,AVIS RENT-A-CAR
303,WYNN LAS VEGAS
304,JETBLUE AIRWAYS
305,IBERIA
306,EMIRATES AIRLINES
307,DRINKING PLACES (ALCOHOLIC BEVERAGES)
308,STENOGRAPHIC SERVICES
309,TREASURE ISLAND HOTEL AND CASINO
310,TOWNEPLACE SUITES
311,MOTEL 6
312,MIRAGE HOTEL AND CASINO
313,DAIRY PRODUCTS STORES
314,BEAUTY AND BARBER SHOPS
315,HARRAH'S HOTELS AND CASINOS
316,COAST HOTELS
317,THE RITZ CARLTON
318,PASSENGER RAILWAYS
319,SPIRIT AIRLINES
320,LA QUINTA RESORT
321,THE VENETIAN RESORT HOTEL CASINO
322,TAJ HOTELS INT'L
323,MOTOR HOMES DEALERS
324,Cosmopolitan of Las Vegas
325,TAX PAYMENTS
326,MILLENNIUM HOTELS
327,ST. REGIS HOTEL
328,ALOFT HOTELS
330,MONTE CARLO HOTEL AND CASINO
331,DIRECT MARKETING INBOUND TELEMARKETING MERCHANTS
332,OTHER FEES
333,TROPICANA RESORT AND CASINO
334,HOTEL INDIGO GALLERIA HOUSTON
335,KNIGHTS INN
336,VDARA
337,CHILD CARE SERVICES
338,POLITICAL ORGANIZATIONS
339,FREMONT HOTEL AND CASINO
340,CONRAD HOTELS
341,DOLLAR RENT-A-CAR
342,CHINA EASTERN AIRLINES
343,LUFTHANSA GERMAN AIRLINES
344,SOUTH AFRICAN AIRWAYS
345,PRIMADONNA HOTEL AND CASINO
346,AMERICINN
347,RED ROOF INNS
348,PARIS LAS VEGAS HOTEL
